,region,total_correctional_pop,csrp_100k_18,csrp_100k_all,parole,comsrp_100k_18,comsrp_100k_all,local_jail_prison,irp_100k_18,irp_100k_all,year,status_code
3,Alabama,115600,3100,70800,46000,1230,0,0,0,0,2013,AL
4,Alaska,14600,2670,9500,5100,940,0,0,0,0,2013,AK
5,Arizona,132300,2620,79200,55200,1090,0,0,0,0,2013,AZ
6,Arkansas,69900,3100,50200,22800,1010,0,0,0,0,2013,AR
7,California,600400,2050,381600,218800,750,0,0,0,0,2013,CA
8,Colorado,120700,2970,89700,32100,790,0,0,0,0,2013,CO
9,Connecticut,62900,2230,45400,17600,620,0,0,0,0,2013,CT
10,Delaware,23700,3260,16700,7000,960,0,0,0,0,2013,DE
11,District of Columbia,13700,2540,12600,2400,450,0,0,0,0,2013,
12,Florida,389400,2490,237800,154500,990,0,0,0,0,2013,FL
13,Georgia,624200,8290,536200,91600,1220,0,0,0,0,2013,GA
14,Hawaii,28900,2630,23300,5600,510,0,0,0,0,2013,HI
15,Idaho,45500,3820,35200,10200,860,0,0,0,0,2013,ID
16,Illinois,222700,2250,153400,69300,700,0,0,0,0,2013,IL
17,Indiana,179400,3580,134000,45400,910,0,0,0,0,2013,IN
18,Iowa,45900,1930,34700,12700,530,0,0,0,0,2013,IA
19,Kansas,37100,1710,20500,16600,760,0,0,0,0,2013,KS
20,Kentucky,97600,2880,65900,32100,950,0,0,0,0,2013,KY
21,Louisiana,115700,3280,70700,50100,1420,0,0,0,0,2013,LA
22,Maine,10500,980,6700,3800,350,0,0,0,0,2013,ME
23,Maryland,74800,1620,46300,32700,710,0,0,0,0,2013,MD
24,Massachusetts,91100,1710,70000,21400,400,0,0,0,0,2013,MA
25,Michigan,253700,3310,195200,60200,790,0,0,0,0,2013,MI
26,Minnesota,123500,2970,107800,15700,380,0,0,0,0,2013,MN
27,Mississippi,67400,2980,38600,28800,1270,0,0,0,0,2013,MS
28,Missouri,114900,2460,70400,44500,950,0,0,0,0,2013,MO
29,Montana,14800,1870,9500,6000,760,0,0,0,0,2013,MT
30,Nebraska,23200,1640,14800,8500,600,0,0,0,0,2013,NE
31,Nevada,37500,1750,17600,19900,930,0,0,0,0,2013,NV
32,New Hampshire,11100,1050,6300,4800,460,0,0,0,0,2013,NH
33,New Jersey,164100,2380,128100,37600,540,0,0,0,0,2013,NJ
34,New Mexico,34200,2170,18700,15500,980,0,0,0,0,2013,NM
35,New York,228100,1470,151400,81400,530,0,0,0,0,2013,NY
36,North Carolina,156000,2050,100600,55300,730,0,0,0,0,2013,NC
37,North Dakota,8100,1430,5500,2700,470,0,0,0,0,2013,ND
38,Ohio,335500,3750,267400,69800,780,0,0,0,0,2013,OH
39,Oklahoma/g,67700,2320,0,37900,1300,0,0,0,0,2013,
40,Oregon,84100,2720,61100,22900,740,0,0,0,0,2013,OR
41,Pennsylvania,355600,3530,275800,85500,850,0,0,0,0,2013,PA
42,Rhode Island,24600,2930,23400,3400,400,0,0,0,0,2013,RI
43,South Carolina,73500,1980,40900,32600,880,0,0,0,0,2013,SC
44,South Dakota,14800,2310,9500,5300,820,0,0,0,0,2013,SD
45,Tennessee,122500,2440,77900,48100,960,0,0,0,0,2013,TN
46,Texas,711900,3640,508000,221800,1130,0,0,0,0,2013,TX
47,Utah,25200,1250,14500,12500,620,0,0,0,0,2013,UT
48,Vermont,8600,1710,6900,2100,410,0,0,0,0,2013,VT
49,Virginia,114600,1780,55800,58800,910,0,0,0,0,2013,VA
50,Washington,139200,2570,111100,29700,550,0,0,0,0,2013,WA
51,West Virginia,20500,1390,11000,9700,660,0,0,0,0,2013,WV
52,Wisconsin,98100,2200,65300,34800,780,0,0,0,0,2013,WI
53,Wyoming,9700,2180,6000,3800,840,0,0,0,0,2013,WY
3,Alabama,104900,2790,61400,45800,1220,0,0,0,0,2014,AL
4,Alaska,14600,2650,9300,5300,960,0,0,0,0,2014,AK
5,Arizona,133600,2590,80700,54800,1060,0,0,0,0,2014,AZ
6,Arkansas,69100,3050,49300,23100,1020,0,0,0,0,2014,AR
7,California,589600,1980,382600,207100,690,0,0,0,0,2014,CA
8,Colorado,119800,2890,89100,31500,760,0,0,0,0,2014,CO
9,Connecticut,62300,2200,45600,16600,590,0,0,0,0,2014,CT
10,Delaware,23300,3170,16300,7000,950,0,0,0,0,2014,DE
11,District of Columbia/g,11900,2180,11400,1600,300,0,0,0,0,2014,
12,Florida,382600,2390,231600,153600,960,0,0,0,0,2014,FL
13,Georgia/h,579600,7580,491800,91000,1190,0,0,0,0,2014,
14,Hawaii,28300,2540,22500,5900,530,0,0,0,0,2014,HI
15,Idaho/i,48600,4010,37700,11000,910,0,0,0,0,2014,
16,Illinois,219000,2210,151800,67200,680,0,0,0,0,2014,IL
17,Indiana,175200,3480,128100,47100,940,0,0,0,0,2014,IN
18,Iowa,46500,1940,35500,12700,530,0,0,0,0,2014,IA
19,Kansas,37400,1710,20400,17000,780,0,0,0,0,2014,KS
20,Kentucky,103600,3040,70800,33500,980,0,0,0,0,2014,KY
21,Louisiana,113600,3200,70600,49100,1380,0,0,0,0,2014,LA
22,Maine,10100,940,6600,4100,380,0,0,0,0,2014,ME
23,Maryland,109700,2360,91100,31100,670,0,0,0,0,2014,MD
24,Massachusetts,90300,1680,70200,20300,380,0,0,0,0,2014,MA
25,Michigan,256700,3330,199000,59400,770,0,0,0,0,2014,MI
26,Minnesota,120500,2870,104300,16200,390,0,0,0,0,2014,MN
27,Mississippi,69700,3070,44300,25400,1120,0,0,0,0,2014,MS
28,Missouri,109500,2340,65800,43700,930,0,0,0,0,2014,MO
29,Montana,14500,1810,9700,5500,680,0,0,0,0,2014,MT
30,Nebraska,22500,1580,14000,8500,600,0,0,0,0,2014,NE
31,Nevada,37500,1710,18000,19600,890,0,0,0,0,2014,NV
32,New Hampshire,11200,1050,6300,4900,460,0,0,0,0,2014,NH
33,New Jersey,164500,2370,130800,35200,510,0,0,0,0,2014,NJ
34,New Mexico,32500,2050,18100,14400,910,0,0,0,0,2014,NM
35,New York,222100,1430,149100,77500,500,0,0,0,0,2014,NY
36,North Carolina,153600,2000,99300,54300,710,0,0,0,0,2014,NC
37,North Dakota,9300,1610,6200,3200,550,0,0,0,0,2014,ND
38,Ohio,326300,3630,256200,71200,790,0,0,0,0,2014,OH
39,Oklahoma,69600,2370,31100,38400,1310,0,0,0,0,2014,OK
40,Oregon,82700,2640,61900,20900,670,0,0,0,0,2014,OR
41,Pennsylvania,360800,3570,281400,85200,840,0,0,0,0,2014,PA
42,Rhode Island,25100,2970,24100,3400,400,0,0,0,0,2014,RI
43,South Carolina,71900,1910,40000,31900,850,0,0,0,0,2014,SC
44,South Dakota,14500,2240,9400,5100,800,0,0,0,0,2014,SD
45,Tennessee,119900,2360,76400,46900,920,0,0,0,0,2014,TN
46,Texas,699300,3490,496900,219100,1090,0,0,0,0,2014,TX
47,Utah,25700,1250,15300,12600,620,0,0,0,0,2014,UT
48,Vermont,8400,1670,6800,2000,390,0,0,0,0,2014,VT
49,Virginia,115300,1780,56700,58600,900,0,0,0,0,2014,VA
50,Washington,133000,2420,104000,30900,560,0,0,0,0,2014,WA
51,West Virginia,19600,1330,9900,9900,670,0,0,0,0,2014,WV
52,Wisconsin,97300,2180,64500,34600,770,0,0,0,0,2014,WI
53,Wyoming,9700,2180,5900,3800,850,0,0,0,0,2014,WY
4,Alabama,107500,2850,2210,1710,1330,42900,880,0,0,2015,AL
5,Alaska,13900,2520,1890,1550,1160,5400,730,0,0,2015,AK
6,Arizona,136300,2600,1980,1590,1210,54900,800,0,0,2015,AZ
7,Arkansas,73200,3210,2450,2260,1720,24000,800,0,0,2015,AR
8,California,550600,1820,1400,1160,890,201000,510,0,0,2015,CA
9,Colorado,120000,2830,2180,2100,1620,31800,580,0,0,2015,CO
10,Connecticut,61000,2150,1700,1600,1260,15800,440,0,0,2015,CT
11,Delaware,22700,3050,2390,2150,1690,6700,700,0,0,2015,DE
12,District of Columbia,10600,1900,1570,1780,1460,1800,270,0,0,2015,
13,Florida,375800,2300,1840,1380,1100,153000,750,0,0,2015,FL
14,Georgia/g,540000,6960,5260,5820,4400,88500,860,0,0,2015,
15,Hawaii,28300,2520,1970,2000,1560,5900,410,0,0,2015,HI
16,Idaho,48700,3960,2930,3070,2270,10900,660,0,0,2015,ID
17,Illinois,215100,2170,1670,1530,1180,63900,500,0,0,2015,IL
18,Indiana,166000,3280,2500,2420,1850,43500,650,0,0,2015,IN
19,Iowa,46700,1940,1490,1480,1140,12900,410,0,0,2015,IA
20,Kansas,37400,1700,1280,950,720,16600,570,0,0,2015,KS
21,Kentucky,103700,3030,2340,2060,1590,33800,760,0,0,2015,KY
22,Louisiana,114600,3210,2450,2010,1530,49000,1050,0,0,2015,LA
23,Maine,10100,940,760,630,510,4000,300,0,0,2015,ME
24,Maryland,104500,2240,1740,1870,1450,29700,490,0,0,2015,MD
25,Massachusetts,86900,1600,1270,1230,980,20100,300,0,0,2015,MA
26,Michigan,250200,3240,2520,2510,1950,57700,580,0,0,2015,MI
27,Minnesota,121600,2880,2210,2490,1910,16500,300,0,0,2015,MN
28,Mississippi,71900,3170,2400,1970,1490,28000,940,0,0,2015,MS
29,Missouri,106000,2250,1740,1330,1030,43400,710,0,0,2015,MO
30,Montana,14700,1810,1410,1200,940,5600,540,0,0,2015,MT
31,Nebraska,22300,1560,1170,950,720,8600,450,0,0,2015,NE
32,Nevada,38300,1710,1310,860,660,19100,650,0,0,2015,NV
33,New Hampshire,10900,1020,820,590,470,4600,340,0,0,2015,NH
34,New Jersey,183500,2630,2040,2170,1690,33900,380,0,0,2015,NJ
35,New Mexico,25000,1570,1200,1050,800,15100,720,0,0,2015,NM
36,New York,216700,1390,1090,930,730,75900,380,0,0,2015,NY
37,North Carolina,151200,1940,1500,1250,960,53800,530,0,0,2015,NC
38,North Dakota,10100,1710,1320,1180,910,3200,410,0,0,2015,ND
39,Ohio,331500,3680,2850,2910,2250,70700,610,0,0,2015,OH
40,Oklahoma/g,73100,2460,1860,1130,850,39700,1010,0,0,2015,
41,Oregon,82900,2600,2040,1940,1530,21000,520,0,0,2015,OR
42,Pennsylvania,374200,3690,2920,2920,2310,83900,650,0,0,2015,PA
43,Rhode Island,25300,2990,2390,2870,2300,3200,310,0,0,2015,RI
44,South Carolina,70100,1830,1420,1010,780,31600,640,0,0,2015,SC
45,South Dakota,15000,2310,1740,1500,1130,5300,620,0,0,2015,SD
46,Tennessee,119900,2340,1810,1470,1140,48000,720,0,0,2015,TN
47,Texas,687300,3360,2480,2390,1760,214800,780,0,0,2015,TX
48,Utah,25500,1210,840,750,520,11700,390,0,0,2015,UT
49,Vermont,8000,1580,1280,1240,1000,1800,280,0,0,2015,VT
50,Virginia,114400,1750,1360,870,680,57300,680,0,0,2015,VA
51,Washington,130600,2330,1810,1870,1450,29700,410,0,0,2015,WA
52,West Virginia,20100,1370,1090,690,550,10100,550,0,0,2015,WV
53,Wisconsin,100600,2240,1740,1460,1130,35000,610,0,0,2015,WI
3,Alabama,99800,2640,2050,60700,1610,1250,40900,1080,0,2016,AL
4,Alaska,12900,2320,1730,8400,1520,1140,4400,800,0,2016,AK
5,Arizona,137500,2570,1970,84800,1590,1220,55000,1030,0,2016,AZ
6,Arkansas,72100,3150,2410,51500,2250,1720,24000,1050,0,2016,AR
7,California,536100,1770,1360,333300,1100,850,202700,670,0,2016,CA
8,Colorado,121900,2820,2180,90900,2110,1630,32100,740,0,2016,CO
9,Connecticut,59600,2110,1670,44700,1580,1250,15000,530,0,2016,CT
10,Delaware,22400,2980,2340,15800,2100,1650,6600,880,0,2016,DE
11,District of Columbia,10400,1840,1510,9600,1710,1400,1800,320,0,2016,
12,Florida,366000,2200,1760,218600,1320,1050,149800,900,0,2016,FL
13,Georgia/g,0,0,0,0,0,0,91400,1160,0,2016,
14,Hawaii,27500,2450,1920,21900,1950,1530,5600,500,0,2016,HI
15,Idaho,48800,3880,2870,37500,2980,2210,11300,900,0,2016,ID
16,Illinois,204200,2070,1600,143400,1450,1120,60800,620,0,2016,IL
17,Indiana,159900,3150,2400,116700,2300,1760,43200,850,0,2016,IN
18,Iowa,46700,1940,1490,35100,1460,1120,13400,560,0,2016,IA
19,Kansas,38500,1750,1320,21500,980,740,17200,780,0,2016,KS
20,Kentucky,97900,2850,2200,63800,1860,1440,34700,1010,0,2016,KY
21,Louisiana,111000,3110,2370,71000,1980,1510,45400,1270,0,2016,LA
22,Maine,10300,960,780,6800,630,510,4100,380,0,2016,ME
23,Maryland,99000,2120,1640,82800,1770,1370,28400,610,0,2016,MD
24,Massachusetts,82900,1520,1210,63600,1170,930,19400,360,0,2016,MA
25,Michigan,0,0,0,0,0,0,56500,730,0,2016,MI
26,Minnesota,119500,2810,2160,103900,2450,1880,16300,380,0,2016,MN
27,Mississippi,65300,2880,2180,37700,1660,1260,28700,1260,0,2016,MS
28,Missouri,105900,2240,1730,61600,1300,1010,44300,940,0,2016,MO
29,Montana,15200,1860,1460,10200,1250,970,5700,700,0,2016,MT
30,Nebraska,23300,1620,1220,14600,1010,760,8800,610,0,2016,NE
31,Nevada,39200,1720,1320,19000,830,640,20200,890,0,2016,NV
32,New Hampshire,10800,1010,810,6400,590,480,4500,410,0,2016,NH
33,New Jersey,186300,2670,2080,155700,2230,1740,32000,460,0,2016,NJ
34,New Mexico,30200,1900,1450,15500,970,740,14700,930,0,2016,NM
35,New York,212100,1360,1070,142400,910,720,74400,480,0,2016,NY
36,North Carolina,149300,1890,1460,95200,1210,930,54100,680,0,2016,NC
37,North Dakota,10300,1770,1350,7100,1230,940,3100,540,0,2016,ND
38,Ohio,326200,3620,2810,256400,2840,2200,71000,790,0,2016,OH
39,Oklahoma/g,74500,2510,1890,35500,1190,900,39000,1310,0,2016,
40,Oregon,82000,2520,1990,61400,1890,1490,20700,640,0,2016,OR
41,Pennsylvania,368100,3640,2880,291600,2880,2280,82400,810,0,2016,PA
42,Rhode Island,24300,2850,2290,23200,2730,2200,3100,370,0,2016,RI
43,South Carolina,68800,1770,1380,36700,940,740,32100,820,0,2016,SC
44,South Dakota,15000,2290,1720,9300,1420,1070,5800,880,0,2016,SD
45,Tennessee,119400,2310,1790,74700,1440,1120,48400,930,0,2016,TN
46,Texas,681900,3290,2430,482900,2330,1720,218500,1050,0,2016,TX
47,Utah,25400,1180,820,15900,740,520,11700,540,0,2016,UT
48,Vermont,7400,1450,1180,5800,1150,940,1700,340,0,2016,VT
49,Virginia,120000,1830,1420,62500,950,740,57500,880,0,2016,VA
50,Washington,127000,2230,1730,100600,1760,1370,30400,530,0,2016,WA
51,West Virginia,20100,1380,1100,10100,690,550,10100,690,0,2016,WV
52,Wisconsin,100500,2230,1740,64900,1440,1120,35600,790,0,2016,WI
53,Wyoming,9400,2100,1600,5500,1230,940,3900,870,0,2016,WY
